scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,market_sentiment,crypto_influence,stock_downfall_rate,stock_increase_rate,factors_affecting,investor_count,expected_profit
Aditya Birla SL Active Debt Multi-Mgr FoF-Dir Growth,100,100,0.27,10,10,Kaustubh Gupta,0.32,2.24,9.39,0.01,0.24,3,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,4,6.5,6.9,Negative,High,1.09,4.17,Market Trends,94583,11.29
Aditya Birla SL Arbitrage Fund,1000,1000,0.36,4288,10,Lovelish Solanki,1.33,1.53,0.72,0.56,1.1,1,Aditya Birla Sun Life Mutual Fund,3,Hybrid,Arbitrage Mutual Funds,5.6,4.8,5.5,Positive,High,3.92,2.91,Inflation,77502,7.52
Aditya Birla SL Asset Allocator FoF-Dir Growth,1000,1000,0.53,157,10,Vinod Narayan Bhat,3.44,2.67,10.58,0.67,1.42,5,Aditya Birla Sun Life Mutual Fund,3,Other,FoFs Domestic,2,18.9,9.7,Negative,Low,1.24,13.2,Interest Rates,18374,18.19
Aditya Birla SL Bal Bhavishya Yojna – Dir Growth,500,1000,0.76,637,4,Atul Penkar,2.18,-6.37,14.99,0.85,0.9,6,Aditya Birla Sun Life Mutual Fund,2,Solution Oriented,Childrens Funds,-0.7,17.1,,Negative,Low,9.56,9.86,Market Trends,77674,13.36
Aditya Birla SL Balanced Advantage Fund,100,100,0.61,6386,10,Mohit Sharma,3.69,1.99,10.38,0.68,1.39,6,Aditya Birla Sun Life Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,4.5,18.6,9.7,Positive,Low,7.98,4.66,Global Events,82471,8.47
Aditya Birla SL Banking&Financial Services-DirGrowth,1000,1000,1.17,2384,9,Dhaval Gala,2.07,1.24,25.53,0.96,0.97,6,Aditya Birla Sun Life Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,5.3,24.6,9.2,Positive,Low,2.59,11.14,Global Events,46913,12.54
Aditya Birla SL Banking&PSU Debt Fund,1000,1000,0.37,7994,10,Kaustubh Gupta,1.92,4.46,1.91,1.78,1.09,3,Aditya Birla Sun Life Mutual Fund,4,Debt,Banking and PSU Mutual Funds,4.5,6.8,7.3,Negative,High,5.89,12.23,Interest Rates,67025,15.97
Aditya Birla SL CEF – Global Agri Plan-Direct Growth,1000,1000,1.29,15,10,Vinod Narayan Bhat,1.42,-,20.18,-,1.06,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-10.3,29.4,9.3,Neutral,High,9.82,9.22,Interest Rates,45516,19.37
Aditya Birla SL Corporate Bond Fund,100,100,0.31,12120,10,Kaustubh Gupta,2.28,2.38,1.93,0.78,1.35,2,Aditya Birla Sun Life Mutual Fund,4,Debt,Corporate Bond Mutual Funds,4.9,7.1,7.4,Negative,Medium,8.84,10.32,Market Trends,88796,8.31
Aditya Birla SL Credit Risk Fund,100,100,0.69,1032,8,Sunaina da Cunha,1.82,3.01,2.9,-0.95,1.47,4,Aditya Birla Sun Life Mutual Fund,4,Debt,Credit Risk Funds,8.7,9,7.2,Negative,Medium,6.01,5.63,Government Policies,27069,18.29
Aditya Birla SL Digital India Fund,100,1000,0.88,3338,10,Kunal Sangoi,2.42,9.37,21.12,0.83,1.53,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-14.6,39.8,21.1,Negative,Low,9.04,8.08,Interest Rates,57233,19.01
Aditya Birla SL Dividend Yield Fund,1000,1000,1.73,850,10,Dhaval Gala,3.78,5.04,15.77,0.85,1.58,6,Aditya Birla Sun Life Mutual Fund,0,Equity,Dividend Yield Funds,6.2,30.5,10,Negative,Low,9.89,7.86,Government Policies,85811,18.75
